protect_pct,n_protect,seqlen,dist,seed,top1_attn_pos_agree_frac,K_bitidentical_AB,logit_max_abs_delta
8,10,2048,normal,0,1.0,False,0.012692570686340332
8,10,2048,normal,1,1.0,False,0.009134232997894287
8,10,2048,normal,2,1.0,False,0.006759285926818848
8,10,2048,heavy_tailed,0,1.0,False,0.02935957908630371
8,10,2048,heavy_tailed,1,0.75,False,0.022709369659423828
8,10,2048,heavy_tailed,2,1.0,False,0.014923572540283203
8,10,2048,outliers,0,1.0,False,0.1229257583618164
8,10,2048,outliers,1,1.0,False,0.05407905578613281
8,10,2048,outliers,2,1.0,False,0.006759166717529297
8,10,2048,asymmetric,0,1.0,False,0.015046119689941406
8,10,2048,asymmetric,1,1.0,False,0.014902591705322266
8,10,2048,asymmetric,2,1.0,False,0.012043952941894531
8,10,2048,high_dynamic_range,0,1.0,False,1.7970170974731445
8,10,2048,high_dynamic_range,1,1.0,False,2.5917091369628906
8,10,2048,high_dynamic_range,2,1.0,False,2.8216705322265625
8,10,2048,near_zero,0,1.0,False,1.2173550203442574e-05
8,10,2048,near_zero,1,1.0,False,9.917013812810183e-06
8,10,2048,near_zero,2,1.0,False,7.639871910214424e-06
