protect_pct,n_protect,seqlen,dist,seed,L1_recon_max_abs,L1_recon_rmse,L1_recon_cosine,L1_recon_p999,L1_nan_inf,L2_K_rel_l2,L2_K_cosine,L3_logit_max_abs,L3_logit_rel_l2,L3_top1_agree,L3_top5_overlap,L4_kl,L4_jsd,L4_tvd,L5_out_rel_l2,L5_out_cosine
1,1,128,near_zero,2,1.52587890625e-05,6.941440915397834e-06,0.9999756813049316,1.52587890625e-05,0,0.0006140315672382712,1.0000044107437134,1.8650025594979525e-06,0.0005148477503098547,1.0,1.0,-1.582177944214891e-08,-9.778512222169411e-09,1.660664565861225e-07,4.983162966709642e-07,0.9999998807907104
1,1,512,normal,0,0.015625,0.007818407379090786,0.999969482421875,0.015625,0,0.0006884397007524967,1.0000110864639282,0.0028700828552246094,0.0008755141752772033,1.0,1.0,3.166881015204126e-07,8.542240692577252e-08,0.00026494814665056765,0.000831669254694134,0.9999997615814209
1,1,512,normal,1,0.015625,0.007240284699946642,0.9999735355377197,0.015625,0,0.0006364760338328779,1.0000125169754028,0.0020608901977539062,0.0005922577693127096,1.0,1.0,1.705103898075322e-07,3.5073185244982596e-08,0.00021068405476398766,0.0005557907861657441,0.9999999403953552
1,1,512,normal,2,0.015625,0.007955803535878658,0.9999677538871765,0.015625,0,0.0007009658729657531,1.0000110864639282,0.0014350414276123047,0.000551414443179965,1.0,1.0,1.6604872143943794e-07,3.1253705401468324e-08,0.0002165633050026372,0.0005107887554913759,0.9999997615814209
1,1,512,heavy_tailed,0,0.03515625,0.017416121438145638,0.9999281167984009,0.03515625,0,0.0010744774481281638,1.0000135898590088,0.005740076303482056,0.0012885446194559336,1.0,1.0,1.520172418167931e-06,3.6412313875189284e-07,0.0006026482442393899,0.0020478309597820044,0.9999989867210388
1,1,512,heavy_tailed,1,0.03125,0.015186089091002941,0.9999423027038574,0.03125,0,0.0009362843120470643,1.0000102519989014,0.004121661186218262,0.0008559611160308123,1.0,1.0,7.151998033805285e-07,1.88103740583756e-07,0.0004475972964428365,0.001050583436153829,0.9999994039535522
1,1,512,heavy_tailed,2,0.03125,0.01705358922481537,0.9999271035194397,0.03125,0,0.0010520360665395856,1.0000081062316895,0.0028700828552246094,0.000875571568030864,1.0,1.0,7.606477083754726e-07,1.924382218021492e-07,0.0004943933454342186,0.001519390963949263,0.9999988675117493
1,1,512,outliers,0,0.015625,0.007818407379090786,0.999969482421875,0.015625,0,0.00010832767293322831,1.0000107288360596,0.0028705596923828125,0.00011511275079101324,1.0,1.0,7.678718816350738e-08,1.4391806857361189e-08,0.00010159393423236907,0.00016996197518892586,1.0
1,1,512,outliers,1,0.5,0.08860833197832108,0.9999753832817078,0.3125,0,0.0012313824845477939,1.0000113248825073,0.02520465850830078,0.0007942540687508881,1.0,1.0,5.132622391101904e-06,1.2477175914682448e-06,0.000818960543256253,0.003022276097908616,0.9999957084655762
1,1,512,outliers,2,0.015625,0.007955803535878658,0.9999677538871765,0.015625,0,0.00011107812315458432,1.0000121593475342,0.0014352798461914062,9.660534124122933e-05,1.0,1.0,8.151252472998749e-08,1.7158514609150188e-09,0.00014893143088556826,0.00020945632422808558,0.9999998807907104
1,1,512,asymmetric,0,0.03125,0.01033856999129057,0.9999983906745911,0.03125,0,0.0001804447383619845,0.9999969005584717,0.005741119384765625,0.0002399310760665685,1.0,1.0,8.153711519298668e-07,2.0583077287028573e-07,0.0003043824399355799,0.0009355908841826022,0.9999995231628418
1,1,512,asymmetric,1,0.03125,0.009494842030107975,0.9999987483024597,0.03125,0,0.0001657910761423409,0.999995231628418,0.0041217803955078125,0.00014330854173749685,1.0,1.0,1.772152700141305e-07,4.7918149448378244e-08,0.0002300114429090172,0.00041674100793898106,0.9999999403953552
1,1,512,asymmetric,2,0.03125,0.010370230302214622,0.9999984502792358,0.03125,0,0.00018106769130099565,0.9999927282333374,0.0028700828552246094,0.00012138130114180967,1.0,1.0,3.138060833407508e-07,8.147780761191825e-08,0.00023436560877598822,0.0007866349187679589,0.9999996423721313
1,1,512,high_dynamic_range,0,16.0,3.5862770080566406,0.9999750852584839,16.0,0,0.0015880611026659608,1.0000152587890625,0.93914794921875,0.0012970976531505585,1.0,1.0,1.986278221011162e-06,4.996400093659759e-07,0.00035141222178936005,0.0009957082802429795,0.9999995231628418
1,1,512,high_dynamic_range,1,0.25,0.042333636432886124,0.9999752640724182,0.15625,0,1.858011273725424e-05,1.0000180006027222,0.01812744140625,1.5305191482184455e-05,1.0,1.0,2.3221394584993504e-08,2.2879476091475226e-12,1.8193532014265656e-08,5.4467498955546034e-08,1.0
1,1,512,high_dynamic_range,2,8.0,2.7781574726104736,0.9999717473983765,8.0,0,0.0012221906799823046,1.0000169277191162,0.7347412109375,0.0012364558642730117,1.0,1.0,1.134023204940604e-05,2.6995221560355276e-06,7.862490019761026e-05,0.00022571261797565967,1.0
1,1,512,near_zero,0,1.52587890625e-05,7.97191842139e-06,0.9999686479568481,1.52587890625e-05,0,0.0007019495242275298,1.0000083446502686,2.8028152883052826e-06,0.0008667098009027541,1.0,1.0,2.4202801540695873e-08,-1.1625805873549666e-09,2.731976564973593e-07,9.526640951662557e-07,1.0000001192092896
