grid,family,family_params,T,beta,delta,sigma_logit,V,seed,cost_order,total_cost,max_accel_norm,gate_activations,per_source_costs,per_pair_costs,truth_label,hit,margin,rank,threshold_pass,alignment_pass,cell_pass,failure_reasons
ablation,linear_drift,"{""drift_rate"": 0.05}",0.1,200.0,0.5,3.0,1024,43,FIRST,0.00498756211208895,0.05000000000000001,4,"[0.002493781056044475, 0.00498756211208895, 0.002493781056044475]","{""1,0"": 0.002493781056044475, ""2,0"": 0.0, ""2,1"": 0.002493781056044475}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
ablation,linear_drift,"{""drift_rate"": 0.05}",0.1,200.0,0.5,3.0,1024,44,FIRST,0.00498756211208895,0.05000000000000002,4,"[0.002493781056044475, 0.00498756211208895, 0.002493781056044475]","{""1,0"": 0.002493781056044475, ""2,0"": 0.0, ""2,1"": 0.002493781056044475}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
ablation,linear_drift,"{""drift_rate"": 0.05}",0.1,200.0,0.5,3.0,1024,42,SECOND,0.0,4.073546362201167e-17,2,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
ablation,linear_drift,"{""drift_rate"": 0.05}",0.1,200.0,0.5,3.0,1024,43,SECOND,0.0,4.875799568240468e-17,2,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
ablation,linear_drift,"{""drift_rate"": 0.05}",0.1,200.0,0.5,3.0,1024,44,SECOND,0.0,4.615428004726742e-17,2,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
ablation,linear_drift,"{""drift_rate"": 0.1}",0.1,200.0,0.5,3.0,1024,42,ZEROTH,0.26687506954151613,0.39999999999999997,6,"[0.13343753477075807, 0.26687506954151613, 0.13343753477075807]","{""1,0"": 0.13343753477075807, ""2,0"": 0.0, ""2,1"": 0.13343753477075807}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
ablation,linear_drift,"{""drift_rate"": 0.1}",0.1,200.0,0.5,3.0,1024,43,ZEROTH,0.26687506954151613,0.39999999999999997,6,"[0.13343753477075807, 0.26687506954151613, 0.13343753477075807]","{""1,0"": 0.13343753477075807, ""2,0"": 0.0, ""2,1"": 0.13343753477075807}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
ablation,linear_drift,"{""drift_rate"": 0.1}",0.1,200.0,0.5,3.0,1024,44,ZEROTH,0.26687506954151635,0.4,6,"[0.13343753477075818, 0.26687506954151635, 0.13343753477075818]","{""1,0"": 0.13343753477075818, ""2,0"": 0.0, ""2,1"": 0.13343753477075818}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
ablation,linear_drift,"{""drift_rate"": 0.1}",0.1,200.0,0.5,3.0,1024,42,FIRST,0.02970585407783462,0.10000000000000002,6,"[0.01485292703891731, 0.02970585407783462, 0.01485292703891731]","{""1,0"": 0.01485292703891731, ""2,0"": 0.0, ""2,1"": 0.01485292703891731}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
ablation,linear_drift,"{""drift_rate"": 0.1}",0.1,200.0,0.5,3.0,1024,43,FIRST,0.02970585407783462,0.10000000000000003,6,"[0.01485292703891731, 0.02970585407783462, 0.01485292703891731]","{""1,0"": 0.01485292703891731, ""2,0"": 0.0, ""2,1"": 0.01485292703891731}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
